Rk,Player,Tm,Age,Pos,G,GS,Rec,Yds,Y/R,TD,Lng,Y/Tgt,R/G,Y/G,Fmb,Player-additional
197,Craig Heyward,NOR,22,FB,11,8,13,105,8.1,0,18,,1.2,9.5,0,HeywCr00
198,Mark Ingram,NYG,23,WR,7,4,13,158,12.2,1,32,,1.9,22.6,0,IngrMa00
199,Doug Cosbie,DAL,32,TE,11,4,12,112,9.3,0,21,,1.1,10.2,0,CosbDo00
200,Preston Gothard,PIT,26,TE,16,15,12,121,10.1,1,26,,0.8,7.6,0,GothPr00
201,Michael Haddix,PHI,27,RB,16,3,12,82,6.8,0,14,,0.8,5.1,1,HaddMi00
202,Jessie Hester,ATL,25,WR,16,3,12,176,14.7,0,41,,0.8,11,1,HestJe00
203,Alonzo Highsmith,HOU,23,FB,16,16,12,131,10.9,0,28,,0.8,8.2,7,HighAl00
204,Allen Pinkett,HOU,24,RB,16,2,12,114,9.5,2,51,,0.8,7.1,2,PinkAl00
205,Don Smith,TAM,25,RB,10,3,12,138,11.5,0,25,,1.2,13.8,0,SmitDo00
206,Don Warren,WAS,32,TE,14,14,12,112,9.3,0,32,,0.9,8,1,WarrDo00
207,Flipper Anderson,RAM,23,WR,16,0,11,319,29,0,56,,0.7,19.9,0,AndeFl00
208,Kenneth Davis,GNB,26,RB,9,7,11,81,7.4,0,11,,1.2,9,0,DaviKe00
209,Willie Drewrey,HOU,25,WR,14,0,11,172,15.6,1,55,,0.8,12.3,0,DrewWi00
210,Phil Epps,GNB,30,WR,6,3,11,99,9,0,25,,1.8,16.5,0,EppsPh00
211,Russ Francis,NWE,35,TE,12,8,11,161,14.6,0,51,,0.9,13.4,0,FranRu00
212,William Howard,TAM,24,FB,15,9,11,97,8.8,0,16,,0.7,6.5,2,HowaWi00
213,Leo Lewis,MIN,32,WR,16,1,11,141,12.8,1,46,,0.7,8.8,2,LewiLe00
214,Kevin Mack,CLE,26,FB,11,11,11,87,7.9,0,25,,1,7.9,5,MackKe00
215,Rueben Mayes,NOR,25,RB,16,9,11,103,9.4,0,25,,0.7,6.4,1,MayeRu00
216,Terry Orr,WAS,27,TE,16,3,11,222,20.2,2,58,,0.7,13.9,0,OrrxTe00
217,Tony Paige,DET,26,RB,16,2,11,100,9.1,0,15,,0.7,6.3,1,PaigTo00
218,Mike Rozier*,HOU,27,RB,15,14,11,99,9,1,18,,0.7,6.6,7,RoziMi00
219,Dwight Stone,PIT,24,RB,16,6,11,196,17.8,1,72,,0.7,12.3,5,StonDw00
220,Gary Wilkins,ATL,25,TE,14,0,11,134,12.2,0,33,,0.8,9.6,0,WilkGa00
221,Warren Williams,PIT,23,RB,15,8,11,66,6,1,21,,0.7,4.4,3,WillWa00
222,Todd Fowler,DAL,26,TE,16,6,10,64,6.4,0,13,,0.6,4,0,FowlTo00
223,Leonard Harris,HOU,28,WR,16,0,10,136,13.6,0,42,,0.6,8.5,1,HarrLe00
224,Troy Johnson,PIT,26,WR,14,0,10,237,23.7,0,60,,0.7,16.9,0,JohnTr01
225,Tim Manoa,CLE,24,RB,16,4,10,54,5.4,0,9,,0.6,3.4,4,ManoTi00
226,Alfredo Roberts,KAN,23,TE,16,7,10,104,10.4,0,20,,0.6,6.5,0,RobeAl00
227,Odessa Turner,NYG,24,WR,4,1,10,128,12.8,1,28,,2.5,32,0,TurnOd00
228,Ottis Anderson,NYG,31,RB,16,0,9,57,6.3,0,13,,0.6,3.6,0,AndeOt00
229,Steve Folsom,DAL,30,TE,16,4,9,84,9.3,2,20,,0.6,5.3,0,FolsSt00
230,Bo Jackson,RAI,26,FB,10,9,9,79,8.8,0,27,,0.9,7.9,5,JackBo00
231,Earnest Jackson,PIT,29,FB,12,6,9,84,9.3,0,24,,0.8,7,3,JackEa00
232,Flip Johnson,BUF,25,WR,11,0,9,170,18.9,1,66,,0.8,15.5,1,JohnFl00
233,Calvin Magee,TAM,25,TE,13,3,9,103,11.4,0,25,,0.7,7.9,0,MageCa00
234,Jim Riggs,CIN,25,TE,16,0,9,82,9.1,0,16,,0.6,5.1,2,RiggJi20
235,Thomas Sanders,CHI,26,RB,16,0,9,94,10.4,0,39,,0.6,5.9,5,SandTh00
236,Kitrick Taylor,KAN,24,WR,16,0,9,105,11.7,0,36,,0.6,6.6,1,TaylKi00
237,Derek Tennell,CLE,24,TE,16,3,9,88,9.8,1,26,,0.6,5.5,0,TennDe00
238,Stanley Wilson,CIN,27,FB,15,6,9,110,12.2,1,28,,0.6,7.3,3,WilsSt00
239,Lin Dawson,NWE,29,TE,6,6,8,106,13.3,2,38,,1.3,17.7,0,DawsLi00
240,Terry Greer,SFO,31,WR,10,0,8,120,15,0,31,,0.8,12,0,GreeTe00
241,Brent Jones,SFO,25,TE,11,0,8,57,7.1,2,18,,0.7,5.2,0,JoneBr00
242,Larry Mason,GNB,27,RB,15,2,8,84,10.5,1,39,,0.5,5.6,0,MasoLa00
243,Jamie Mueller,BUF,24,FB,15,15,8,42,5.3,0,17,,0.5,2.8,2,MuelJa00
244,Christian Okoye,KAN,27,FB,9,9,8,51,6.4,0,12,,0.9,5.7,1,OkoyCh00
245,James Primus,ATL,24,RB,16,6,8,42,5.3,0,8,,0.5,2.6,0,PrimJa00
246,Timmy Smith,WAS,24,FB,14,8,8,53,6.6,0,16,,0.6,3.8,4,SmitTi00
247,Stephen Starring,2TM,27,WR,12,0,8,164,20.5,0,53,,0.7,13.7,0,StarSt00
248,Mosi Tatupu,NWE,33,RB,16,0,8,58,7.3,0,17,,0.5,3.6,0,TatuMo00
249,Kerry Goode,TAM,23,RB,14,5,7,68,9.7,0,22,,0.5,4.9,0,GoodKe00
250,Stacy Robinson,NYG,26,WR,11,0,7,143,20.4,3,62,,0.6,13,0,RobiSt00
251,Kurt Sohn,NYJ,31,WR,15,0,7,66,9.4,2,17,,0.5,4.4,0,SohnKu00
